timestep_index,state_54_eV,state_55_eV,state_56_eV,state_57_eV,state_58_eV,state_59_eV,state_60_eV,state_61_eV,state_62_eV
356,-6.96786494912,-6.2221210915,-5.94242812502,-5.77375136084,-2.61406113318,-2.19983444965,-1.45113029827,-1.02391486168,-0.637188584887
361,-6.9681230726,-6.22378093768,-5.94285601923,-5.77288111756,-2.6132278017,-2.1995352332,-1.45026920109,-1.0207884655,-0.638189872727
366,-6.96838142938,-6.22543529493,-5.94328832235,-5.7720068729,-2.61239005334,-2.19923846549,-1.44941125058,-1.01763565492,-0.639198902028
371,-6.9686400192,-6.22708386471,-5.94372495697,-5.77112884528,-2.61154797907,-2.19894417518,-1.44855666377,-1.01445767893,-0.640215648006
376,-6.96889883857,-6.22872637973,-5.9441658423,-5.77024724225,-2.61070167264,-2.19865238759,-1.44770567712,-1.01125584805,-0.641240099897
381,-6.96915789518,-6.23036255307,-5.94461089167,-5.7693622682,-2.6098512386,-2.1983631425,-1.44685850106,-1.00803149421,-0.642272246707
386,-6.96941720095,-6.23199211904,-5.94506002452,-5.76847412846,-2.60899677091,-2.19807649536,-1.44601534924,-1.00478601559,-0.643312068331
391,-6.96967675901,-6.23361479806,-5.94551317345,-5.76758301804,-2.60813837154,-2.19779248419,-1.44517641067,-1.00152087184,-0.644359548973
396,-6.96993657684,-6.23523030411,-5.94597027657,-5.76668912734,-2.60727612895,-2.19751114465,-1.44434189065,-0.998237546818,-0.645414675027
401,-6.97019665502,-6.23683834917,-5.9464312671,-5.76579265923,-2.60641013711,-2.19723252528,-1.4435120063,-0.994937553251,-0.646477410904
406,-6.97045699521,-6.23843864521,-5.9468960895,-5.76489379926,-2.60554049419,-2.19695664787,-1.44268693781,-0.991622386717,-0.647547732202
411,-6.9707176071,-6.24003093666,-5.94736467835,-5.76399274109,-2.60466728557,-2.19668355418,-1.44186685786,-0.988293527176,-0.648625618866
416,-6.9709784946,-6.24161496053,-5.94783697391,-5.76308967801,-2.60379060464,-2.19641328262,-1.44105195091,-0.98495249725,-0.649711052842
421,-6.97123966525,-6.24319046263,-5.94831291485,-5.76218479093,-2.60291054796,-2.19614587113,-1.44024236129,-0.981600790985,-0.650803999681
426,-6.97150111723,-6.24475718959,-5.94879244488,-5.76127826038,-2.60202720518,-2.19588136334,-1.43943824713,-0.978239898106,-0.651904443241
431,-6.97176285577,-6.24631489007,-5.94927550601,-5.76037026857,-2.6011406648,-2.19561979112,-1.43863975147,-0.974871283089,-0.653012352427
